prefix	input_text	target_text
xIntent	PersonX adds ___ to PersonX's collection	to add his comic book collection
xIntent	PersonX adds ___ to PersonX's collection	to expand the collection
xIntent	PersonX adds ___ to PersonX's collection	to add to a collection
xIntent	PersonX announces to everyone	everyone to know
xIntent	PersonX announces to everyone	to make sure everyone knows they know
xIntent	PersonX announces to everyone	everyone to know
xIntent	PersonX boils some water	to have hot water
xIntent	PersonX boils some water	hot water
xIntent	PersonX boils some water	to drink a hot water
xIntent	PersonX boils water for minutes	to have clean water
xIntent	PersonX boils water for minutes	purify the water
xIntent	PersonX boils water for minutes	cook with the water
xIntent	PersonX borrows PersonY's phone	to make a phone call
xIntent	PersonX borrows PersonY's phone	to make a phone call
xIntent	PersonX borrows PersonY's phone	to steal a phone
xIntent	PersonX braids PersonX's hair	to make hair look nice
xIntent	PersonX braids PersonX's hair	to make their hair look nice
xIntent	PersonX braids PersonX's hair	to style their hair
xIntent	PersonX brings the dog	the dog to come
xIntent	PersonX brings the dog	to bring the dog
xIntent	PersonX brings the dog	the dog to not be alone
xIntent	PersonX bruises the serpent 's ___	to kill the serpent
xIntent	PersonX bruises the serpent 's ___	injure the serpent
xIntent	PersonX bruises the serpent 's ___	to stop the serpent from hurting them
xIntent	PersonX buys PersonX's first car	a car
xIntent	PersonX buys PersonX's first car	a car
xIntent	PersonX buys PersonX's first car	to own a car
xIntent	PersonX buys PersonY's own shoes	to have a pair of shoes
xIntent	PersonX buys PersonY's own shoes	persony's shoes
xIntent	PersonX buys PersonY's own shoes	because he wants shoes
xIntent	PersonX buys PersonY's phone	to replace their broken phone
xIntent	PersonX buys PersonY's phone	to help person y buy a new phone
xIntent	PersonX buys PersonY's phone	to have a good phone in an economical price
xIntent	PersonX buys ___ for PersonX's children	to reward children for good behavior
xIntent	PersonX buys ___ for PersonX's children	wants their children to be happy
xIntent	PersonX buys ___ for PersonX's children	want their children to succeed
xIntent	PersonX buys ___ for the family	toe family to benefit from having it
xIntent	PersonX buys ___ for the family	to provide for the family
xIntent	PersonX buys ___ for the family	to feed the family
xIntent	PersonX buys ___ from the pet store	to take care of a pet
xIntent	PersonX buys ___ from the pet store	a pet
xIntent	PersonX buys ___ from the pet store	to have a pet
xIntent	PersonX buys a new charger	a charger that works
xIntent	PersonX buys a new charger	to replace an old charger
