,date,cat,comment
0,03-06-11:02,important paper mlp encoder,نکته مهم این است که انکودر تاثیر مهمی در روش داره و باید خیلی روش تاکید بشه 
1,03-12-08:20,قضیه اینه که اگر پرایویت باشه از بقیه سورسها یه جورایی مشابه استفاده می کنه,اما اگر سیل باشه و مجبور باشه تفکیک کنه اون موقع تخصصی شون می کنه که این نکته رو باید توی مقاله بیاری
2,03-12-15:53,,به نظر بحث ظرفیت پرامپتهای سورس برای ترین شدن هست. یعنی اگر پرامپتی خوب ترین بشه می تونه توی چند تا تسک مرتبط خوب جواب بده! که توی امتیازها منعکس می شه اما اینکه توی توجه منعکس بشه را باید چک کرد.
3,03-12-17:57,,هم اس ال آر و هم ای ال آر توی خوندن سورسها تاثیر دارند و وقتی کمشون کنیم تکیه به سورسها کمتر می شه
4,03-12-18:06,,توی سیل باید خود اس ال آر مقدار مناسبی داشته باشه و این خودش شاید باعث بشه امتیاز بره بالاتر
5,03-12-18:22,,به همین شکل برای اس ال هم باید نرخ سورسها زیاد باشه و همینطور نرخ توجهات
6,03-12-18:22,,در اس ال پی بعضی وقتها روی پرایویت تاکید هست اما باز ممکنه به تنهایی امتیاز نگیره بلکه می خواد با سورسها مجتمع بشه
7,03-12-18:31,,در اس ال پی باز نیاز به همکاری سورس و پرایویت هست و به نظر اگر هر دو خوب ترین بشند یعنی نرخ یادگیری مناسب یا بالاتر برای هر دو مناسب باشه که توی اون  مقاله دوم هم تقریبا به همین نتیجه رسیدیم. پس شاید تنها در سیلپ کم کردن نرخ خوب باشه و یک گزینه دیگه هم خود سیل هست با نرخ سورس بالا
8,03-12-18:46,,توی سیپ ای ال آر مهم است و اگر بالا باشد سورسها می تونند تنظیم بشن اما کم باشه هم پرایویت تقویت می شه باید با پی مقایسه بشه
9,03-12-15:36,sil,برای تفکیک بهتر و ایجاد وزنها نرخ یادگیری توجه رو زیادتر کن و نرخ یادگیری اس ال آر رو کمتر 
10,03-18-18:27,,وقتی که اس ال آر بیشتر باشه امتیاز کل سورسها نزدیک به همون پرامپتهای ویژه است اما وقتی اس ال آر کم باشه بیشتر روی سورسها پخش می شه و امتیاز کل سورسها بیشتر از تک واحدها است.
11,03-18-18:27,,در سیل هم به نظر میاد که اگر اس ال آر کم باشه مجموع از هرکدام بیشتره ولی در سیل یا برابر است و یا کمتر است چون متوازن انگار تقسیم نشده و اونها ممکنه تاثیر منفی داشته باشند
